學年,學期,學分,平均,名次,人數,名次_班,名次_組,名次_系,人數_班,人數_組,人數_系
111,1,23,91.3,"=""3／3／9""","=""38／38／154""",3,3,9,38,38,154
111,1,23,91.3,"=""3／3／9""","=""38／38／154""",3,3,9,38,38,154
111,1,23,91.3,"=""3／3／9""","=""38／38／154""",3,3,9,38,38,154
111,2,23,93.0,"=""2／2／2""","=""38／38／154""",2,2,2,38,38,154
111,2,23,93.0,"=""2／2／2""","=""38／38／154""",2,2,2,38,38,154
111,2,23,93.0,"=""2／2／2""","=""38／38／154""",2,2,2,38,38,154
112,1,25,91.8,"=""3／3／9""","=""40／40／162""",3,3,9,40,40,162
112,1,25,91.8,"=""3／3／9""","=""40／40／162""",3,3,9,40,40,162
112,1,25,91.8,"=""3／3／9""","=""40／40／162""",3,3,9,40,40,162
112,2,22,97.0,"=""2／2／2""","=""39／39／163""",2,2,2,39,39,163
112,2,22,97.0,"=""2／2／2""","=""39／39／163""",2,2,2,39,39,163
112,2,22,97.0,"=""2／2／2""","=""39／39／163""",2,2,2,39,39,163
113,1,17,84.4,"=""9／9／62""","=""38／38／161""",9,9,62,38,38,161
113,1,17,84.4,"=""9／9／62""","=""38／38／161""",9,9,62,38,38,161
113,1,17,84.4,"=""9／9／62""","=""38／38／161""",9,9,62,38,38,161
113,2,17,81.5,"=""14／14／91""","=""38／38／160""",14,14,91,38,38,160
113,2,17,81.5,"=""14／14／91""","=""38／38／160""",14,14,91,38,38,160
113,2,17,81.5,"=""14／14／91""","=""38／38／160""",14,14,91,38,38,160
